,text,year,sentiment,score,emotion
0,"6.	The most recent example, and the one that has caused great anxiety on the international scene, is that relatively small but violent groups of fanatics have taken as hostages altogether innocent people, both as passengers on civil aircraft and even representatives of foreign States on legal assignments. These victims of violence have been kept in captivity for the purpose of blackmail to force acceptance of outrageous demands of a more or less illegal nature. And the criminal commandos have threatened the hostages with injury and even death if their demands are not satisfied. I consider that all relations with nations that tolerate such kidnapping will be imperiled. Some measures will have to be found to prevent this violence. On the other hand, one cannot overlook the fact that many of those who have taken these violent actions live in great difficulties and suffer even injustice, so that it is not by any means unnatural that they resort to desperate actions. But one cannot under any circumstances
tolerate this. Their problems will have to be solved by other means. Violence serves no useful purposes but will have grave consequences for those who resort to it. Something will have to be done. These hijackers have world public opinion against them, and therefore the matter should be more manageable.",1970,negative,-0.673948,"{'sadness': 0.621084, 'joy': 0.142372, 'fear': 0.150488, 'disgust': 0.12212, 'anger': 0.224039}"
1,"110.	In this way the consequences of violence now strike individuals who had nothing to do with the drama being played out around them. As a corollary of fanaticism and divinely sponsored aggression, there has been a whole host of crimes of all kinds: kidnappings, assassinations, hijackings, attacks, and so forth. All these acts occur at the expense of innocent human beings, as a way of committing acts of violence against others who are thought to be guilty. In this way mankind has gone back to a time which we thought was permanently in the past. We have released instincts which lead to the explosion of passions, which are characterized by special interests or fanaticism.",1970,negative,-0.762025,"{'sadness': 0.191175, 'joy': 0.153521, 'fear': 0.130806, 'disgust': 0.164087, 'anger': 0.547441}"
2,"10.	By instinct man attempts to evade eternity, and in doing so resorts to artificial divisions and demarcations of time, to the expedients of clepsydras, clocks and calendars. Man himself continues to be the measure of all things, and he feels the need to impose upon the measuring rod of his existence certain marks and points of reference, way stations, stop-overs, from which he can look back at the road he has already traveled and prepare himself for the rest of the journey. In this moment for pause and reflection it is important not to allow ourselves to be lulled into the unrealistic attitude of imagining the past and remembering the future.",1970,negative,-0.62612,"{'sadness': 0.604124, 'joy': 0.212091, 'fear': 0.086243, 'disgust': 0.062248, 'anger': 0.138666}"
3,"In that address he also said that 'the world has become smaller and more interdependent'
87.	Therefore we must create in this ever-shrinking world the conditions necessary for us all to live together and flourish. Is that a dream? How many dreams have become realities? And does not mankind need lofty dreams in order to transcend itself and draw nearer to peace, greater justice and greater progress?",1970,positive,0.966523,"{'sadness': 0.134243, 'joy': 0.807608, 'fear': 0.012823, 'disgust': 0.006312, 'anger': 0.044928}"
4,"13.	Peace is no longer a simple ideal, a dream or a Utopian scheme. It has become the most pressing, the most elementary, of all needs. It has ceased to be an objective and has become a premise. Either we have a peaceful future before us or we run the risk of having no future at all. It is no longer a matter of evoking ideals of self-denial and altruism. It is no longer a matter of emphasizing the necessity for moral and political advances to match the prodigious scientific and technological progress of our day. It is a matter of appealing to the fundamental interest of man, to his instinct for self-preservation, for what is really at stake is the survival of man.",1970,positive,0.608039,"{'sadness': 0.165868, 'joy': 0.603224, 'fear': 0.112964, 'disgust': 0.093887, 'anger': 0.087161}"
5,"113.	Critical judgment has been replaced by the emotional reaction, and rational life by the life of feeling. In the disappearance of the critical judgment, man has lost his true status as a human being and his fundamental characteristic reason. The man of today remains in this way at the mercy of those who are able systematically to use the levers of the sub-conscience and of instinct.",1970,positive,0.511284,"{'sadness': 0.377881, 'joy': 0.439323, 'fear': 0.022518, 'disgust': 0.115691, 'anger': 0.126483}"
6,186.	There is a notorious maladjustment between institution and reality. We are not referring here to the discrepancy that may exist between what should be and what factually is. We know that ideals always precede their practical fulfillment. History has shown to what extent ideas that at one time were deemed Utopian gradually became specific and indispensable factors of our everyday life.,1970,positive,0.657867,"{'sadness': 0.114057, 'joy': 0.715884, 'fear': 0.067809, 'disgust': 0.019543, 'anger': 0.036293}"
7,"37.	We should not give to this celebration any sense of false optimism. It would be sterile, however, to go to the opposite extreme. The constructive thing would be to think about ways which would allow us in the future to overcome the obstacles lying in its path.",1970,positive,0.542329,"{'sadness': 0.198507, 'joy': 0.360312, 'fear': 0.336388, 'disgust': 0.031301, 'anger': 0.185678}"
8,"130.	But what about the larger issue of peace? Before we fall into despair let us recall that there are no irreconcilable conflicts in history. The ArabIsraeli conflict, for all its rhetorical bitterness, has had no results comparable in absolute or relative terms with the carnage and mass suffering of many other wars.",1970,negative,-0.877471,"{'sadness': 0.764296, 'joy': 0.048525, 'fear': 0.123305, 'disgust': 0.03643, 'anger': 0.163629}"
9,"85.	It is only by remembering this truth, and some-times because it is so obvious we forget about it, that we can raise our eyes and our efforts and join this earth such a hapless and wretched earth to that remote infinite point towards which we are drawn all the time by that thirst for perfection that all men harbor within themselves and which draws them towards the perfection of created things.",1970,negative,-0.655144,"{'sadness': 0.232717, 'joy': 0.635331, 'fear': 0.016652, 'disgust': 0.013496, 'anger': 0.135989}"
10,"85.	Without this awareness it will not be possible for us to understand the most frightening political phenomenon in the world today, and even less to face the challenge it represents,
86.	This is not the first time that my country has spoken about such facts, We did so, quite properly, when we ourselves were subjected to a similar type of activity. Perhaps for that reason the international community did not at that time fully understand the magnitude and significance of the danger and tended 
to attribute it to local factors, as was claimed in certain distorted and false propaganda. Now that we have succeeded in pushing back the massive attack launched against us, and while we are mounting a permanent guard against any other such attempts, I wish to repeat once more our warning to all countries and to urge the community of nations to act against the unmistakable international wave of terrorists and subversives motivated by clear political aims of domination or, if that is not immediately possible, destruction.",1975,negative,-0.608129,"{'sadness': 0.445297, 'joy': 0.027722, 'fear': 0.54781, 'disgust': 0.165721, 'anger': 0.163467}"
11,"82.	The challenge before us as we stand on the threshold of the next decade is whether or not we shall be able to rise above narrow selfish interests and perceive the world in a larger context and in its human and often vulnerable entirety. Are we going to remain indifferent to the cries of the majority of mankind, which still lives ill-fed, ill-clothed and ill-housed, and are we going to be helpless in the face of the great gulf that separates the well-to-do minority from the poor, the deprived and the disadvantaged majority? To allow the situation to drift as we have been doing is hardly conducive to a stable, secure and peaceful world. The onus is therefore on us as to whether we leave a legacy of peace, equality and prosperity or chaos, devastation and grief.",1975,positive,0.332609,"{'sadness': 0.851657, 'joy': 0.075694, 'fear': 0.09064, 'disgust': 0.051563, 'anger': 0.067668}"
12,"41.	It is this seventeenth-century ideology which still governs our thinking and shapes our international policies in this Organization. True, these basic beliefs, in these more enlightened times, are dressed up in the rhetoric of internationalism and world brotherhood. But, shorn of these wrappings, what stands revealed is the seventeenth-century mind. Perhaps most dis-tressing of all is how readily some third-world countries, despite their having been victims of this outdated European ideology, have taken to xenophobic nationalism and the racial and religious arrogance associated with their former Western rulers. We quite rightly complain of the arrogance of the powerful, but if we are honest with ourselves we should also be critical of the growing arrogance of the weak.",1975,negative,-0.389908,"{'sadness': 0.480693, 'joy': 0.54656, 'fear': 0.082078, 'disgust': 0.134629, 'anger': 0.102773}"
13,"48.	It will also be necessary to set up autonomous systems of communications and information that will not depend on the centers of world domination, since the latter ultimately make people look at themselves from the colonial standpoint, a standpoint which converts subjected cultures into mere anthropological repertories, into mere collections of anecdotes, in exotic compilations of folklore which are even incorporated into the requirements and tastes flowing from the very scale of values of the dominating culture.",1975,positive,0.915357,"{'sadness': 0.415077, 'joy': 0.328819, 'fear': 0.024957, 'disgust': 0.096428, 'anger': 0.026726}"
14,"'You can see that this is the trend all over the world; peoples and nations are reaching out, or trying to reach out, to mend the fences, to settle the differences that at one point in time had the fervor of a struggle between good and evil. Reality dictates that we must think anew because the times are new. We must dis-enthrall ourselves from old prejudices and evolve a policy which is rational for our own time.",1975,positive,0.418611,"{'sadness': 0.317155, 'joy': 0.167282, 'fear': 0.073961, 'disgust': 0.434347, 'anger': 0.210716}"
15,"131.	Beyond peace, security and prosperity lies a deeper universal aspiration to dignity and equal opportunity. Mankind will never be spared all the tragedies inherent in the cycle of life and death. But we do have it in our power to eliminate or to ease the burden of social tragedy and of organized injustice.",1975,negative,-0.485861,"{'sadness': 0.813291, 'joy': 0.091796, 'fear': 0.119766, 'disgust': 0.0528, 'anger': 0.055657}"
16,"115.	As far back as the dark days of the war, nations and statesmen were faced with the question: on what basis should the future world be built so that the victory over the dark forces shall become a turning- point in mankind's history and not a new period between two wars?",1975,negative,-0.897715,"{'sadness': 0.584941, 'joy': 0.082438, 'fear': 0.373248, 'disgust': 0.063218, 'anger': 0.096008}"
17,107.	Therefore we view with concern private interests that exist solely for profit spreading on a world-wide scale and even transcending national States. This is a fact to bear in mind from now on in international life and in the struggle of peoples towards full emancipation.,1975,negative,-0.469198,"{'sadness': 0.350505, 'joy': 0.393453, 'fear': 0.10688, 'disgust': 0.158267, 'anger': 0.11338}"
18,"60.	May we not say, too, that this code of ethics is inspired by the morality of the oppressed, the oppressed who seek not dominance but the simplest right to live as decent human beings? We have not forgotten, I trust, that our civilizations, our religions, all those great movements which exalt the human spirit have been leavened by the morality of the oppressed.",1975,positive,0.899247,"{'sadness': 0.03362, 'joy': 0.883748, 'fear': 0.041622, 'disgust': 0.025365, 'anger': 0.015765}"
19,"51.	The time has come to make a clear stand at the international level so that planned terrorism and violence do not find in universal forums the kind of tolerance that, in the last analysis, weakens the rule of law, of what is right, decent, ethical and at the base of alt civilized society.",1975,positive,0.633463,"{'sadness': 0.41145, 'joy': 0.250211, 'fear': 0.140533, 'disgust': 0.181068, 'anger': 0.095078}"
