,text,year,sentiment,score,emotion
0,"91.	In itself, the idea of hostages is a survival of barbarism, because a human being is not a negotiable instrument but an end in himself. But how much more beyond justification is the concept of taking hostages, applied to noncombatants, to women and children from countries outside the conflict. Accordingly, I have instructions energetically to condemn the hijacking of aircraft, which endangers innocent human lives, and the capture of hostages. My delegation will support any measures to prevent these attempts and to punish those responsible.",1970,negative,-0.421168,"{'sadness': 0.354876, 'joy': 0.030326, 'fear': 0.196134, 'disgust': 0.388189, 'anger': 0.347418}"
1,"64.	Twenty-five years ago, in the name of and with the knowledge of mankind, the peoples of the world signed in the historic city of San Francisco the United Nations Charter and thus undertook:
'to save succeeding generations from the scourge of war, which twice in our lifetime has brought untold sorrow to mankind, and
'to reaffirm faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women and of nations large and small, and
'to establish conditions under which justice and respect for the obligations arising from treaties and other sources of international law can be maintained, and
'to promote social progress and better standards of life in larger freedom.'",1970,negative,-0.859005,"{'sadness': 0.192486, 'joy': 0.704581, 'fear': 0.018233, 'disgust': 0.023349, 'anger': 0.063019}"
2,"'Faith in the fundamental rights of man, faith in the dignity and value of the human personality, and the equality of rights of men and women, as well as those of large and small nations, all this would bring about a new era if the authority of the Organization were to become more luminous, stronger and better defined at every succeeding step it takes as it continually draws its inspiration from the actions and legislation of peoples and their governments.",1970,positive,0.637063,"{'sadness': 0.035644, 'joy': 0.864837, 'fear': 0.018573, 'disgust': 0.043198, 'anger': 0.037226}"
3,"81.	The threat to international peace which the situation in southern Africa poses has been steadily increasing. During the life of the United Nations with its aim, among others,' 'to reaffirm faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women and of nations large and small', the Organization has from its beginning been faced with and challenged by the problems in southern Africa.",1970,negative,-0.593426,"{'sadness': 0.220418, 'joy': 0.631638, 'fear': 0.13025, 'disgust': 0.051834, 'anger': 0.03132}"
4,"181.	Before I turn to the problems that face the United Nations today and to the measures that might be taken to give it greater vitality and to resurrect it from its present state of almost complete ineffectiveness in the political sphere, I should like to refer to recent developments in Ceylon's foreign policy. In May of this year a new Government took office in Ceylon, elected by the freely exercised vote of all men and women above the age of eighteen. It was a dramatic demonstration of the power and the glory of democracy and above all of the value of the electoral process, free from any extraneous influences, as a means of selecting the government of a country. It was the authentic voice of the people choosing between parties whose alternative programs, promises and pledges were openly available for free choice. Critics of our foreign policy would do well to remember that it represents the expression of the will of the people, the sovereign element in a genuine and robust democracy. The decisions taken in the sphere of foreign relations by the new Government in Ceylon are not directed against any particular Power or group of Powers or against any particular interest or group of interests. They are not calculated, nor do we believe that they will tend, to impede progress towards the settlement of any of the problems that have been plaguing the world for years, the unhappy legacy of the Second World War, such as the problem of the division of countries according to the ideological affiliations or predilections of their divided parts. We believe that nations or States are no more than the legal and constitutional aggregate of their peoples and that the purpose of international
relations is to promote contact and, thereby, understanding and goodwill between peoples in different parts of the world. Long years of separation without any perceptible progress towards reunification prove the futility of external attempts at such reunification. A divided people must be left to heal their divisions by negotiation among themselves without external pressure or interference.",1970,positive,0.756059,"{'sadness': 0.53976, 'joy': 0.481964, 'fear': 0.073092, 'disgust': 0.127086, 'anger': 0.130285}"
5,"151.	Twenty-five years after the reaffirmation by the Charter of 'faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women' the world is still witnessing increasing manifestations of repressions of those ideals. The dream that each may walk in freedom and pride so as to enjoy the fruits of the world is still a scant hope. Practices of discrimination continue to exist and shocking violations of human rights increasingly plague the world.",1970,negative,-0.318933,"{'sadness': 0.126414, 'joy': 0.628409, 'fear': 0.046007, 'disgust': 0.195229, 'anger': 0.054755}"
6,"39. The United States, then has offered Israel limitless funds and enormous facilities to acquire tremendous quantities of aggressive arms to be used against the Arabs. That is the American interpretation of the will to peace. Happily, in the free world peace is not viewed in the same way, and with your permission I shall also read an excerpt from an article by Mr. George Montaron published on 13 August 1970 in Christian Witness:
' 'Peace? But what peace? In 1947 a grave injustice was committed against the Palestinians. They were driven out of the towns and countryside where they had been born. They have to live in exile. This injustice must be redressed. These men and women have the right to live in their own homes if they so wish.",1970,positive,0.376772,"{'sadness': 0.472064, 'joy': 0.639148, 'fear': 0.080337, 'disgust': 0.102262, 'anger': 0.11934}"
7,"109.	My delegation believes that the greatest challenge to all peace-loving men and women today in every part of the world is the task of providing international harmony, eliminating strife between man and man caused by religious differences, racial antagonism or ideological conflict. This, then, is the task that my delegation is committed to fulfill as we deliberate on various items on the agenda of this historic Twenty-fifth session of the General Assembly of the United Nations. We humbly and earnestly invite all the Members to share with us this spirit of purposeful determination to make this session a turning point in man's quest for peace on earth and goodwill among men.",1970,positive,0.488605,"{'sadness': 0.057253, 'joy': 0.860584, 'fear': 0.016399, 'disgust': 0.002528, 'anger': 0.051146}"
8,46.	On several occasions during this analysis we have mentioned the European Economic Community. We have observed that its very structure keeps it from becoming inward-looking. That will be even more true the day it brings together 250 million men and women to whom several million others will be joined through more or less close ties.,1971,positive,0.746874,"{'sadness': 0.315713, 'joy': 0.56862, 'fear': 0.037657, 'disgust': 0.064391, 'anger': 0.064702}"
9,"80.	I have found myself on this platform on a number of occasions compelled to call attention to a feature of international life which has plagued for far too long the lives of ordinary men and women. It is in short the abuse of the function of politics and diplomacy by what I may call the cult of confrontation and the denial of dialog. To promote dialog is the essential function of this Organization, and, indeed, it is implicit in the very name 'United Nations'. So it is here, above all, that we should show concern at a development that threatens to drag civilization backwards, down the-road to violence.",1971,negative,-0.603874,"{'sadness': 0.361787, 'joy': 0.028633, 'fear': 0.257945, 'disgust': 0.510153, 'anger': 0.134272}"
10,"232.	However, the enemy who thought that the firing of cannons and machine guns would suffice to cause the downfall of an African regime underestimated the ability of our people to defend itself. Thus it was convinced that the Guinean people supported its cause and that it would suffice to land in order to elicit sympathetic demonstrations of support. Events showed that he had grossly miscalculated, because not a single man, woman or youth among the valiant people of Guinea came out in its favor. The fifth column, which was camouflaged in our ranks, was immediately neutralized by the people bearing arms.",1971,negative,-0.836546,"{'sadness': 0.393603, 'joy': 0.1355, 'fear': 0.088449, 'disgust': 0.15396, 'anger': 0.434336}"
11,"134.	And there are other respects, beyond international peace and security, in which that dream has remained unfulfilled; for international peace and security conceived of in terms of relations between States will mean little to the people of the world if they remain everywhere in chains. That is why in the Charter we reaffirm faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women everywhere. That is why one of the early acts of the new world Organization was the promulgation of the Universal Declaration of Human Rights. We have made notable advances since that time, and the record of international action in advancing the processes of decolonization and in securing recognition of and protection for the fundamental rights and freedoms of the individual is one of which this Organization may rightly be proud. But while pride is justified, complacency is not; for tragic failures mar that record, both with respect to decolonization and the advancement of the dignity and worth of the human person.",1971,positive,0.941096,"{'sadness': 0.109554, 'joy': 0.66796, 'fear': 0.053444, 'disgust': 0.119358, 'anger': 0.045256}"
12,"I am sorry that the representative of Pakistan in his wisdom has chosen this path of raising objections after every sentence or after every paragraph of my speech before this Assembly. I am not discussing the internal affairs of Pakistan and I am not interested in the internal affairs of Pakistan; but it would be a truism to say that the conduct of internal affairs by any country, if it results in the uprooting of 9 million people who cross over to the adjoining territory, should be a matter of concern to the international community, which
should be concerned about the circumstances that created a situation in which the conduct of internal affairs in that country compelled 9 million people over a period of a little more than six months to cross into the territory of India. Now, if a strict interpretation were accepted under which conditions in Pakistan could not be mentioned, then we would virtually come to the ridiculous position that a refugee who left his village in East Pakistan should not be described and the conditions prevailing in that part should not be taken note of and only when he crossed into Indian territory should we start mentioning him. I am sure that that would be neither the correct spirit nor the correct manner in which we should deal with such serious matters, I am fully conscious of and have regard for the principle of coexistence. We are not interested in whether there is a presidential system or a military system or a military rule in Pakistan. That is entirely its concern. We have learned to live in a spirit of coexistence with whatever may be the social or economic system prevailing in any part of the world, and this applies particularly to our neighbors. But when, while dealing with their own affairs, within what they describe as domestic matters, they create a situation where 9 million people are shoved on to us, then surely the international community would like to know the circumstances in which these people have left their country. They have not left their country of Pakistan as tourists to do sightseeing in India. This is a very serious matter. Therefore we should view this problem in the proper perspective. The international community will never be able to understand unless it knows the circumstances that prevail in that unfortunate country, where 9 million people, its own citizens, had to cross and come over to Indian territory. I am not interested in its internal set-up, but I am interested in putting across to the international community the circumstances which led to the creation of conditions that compelled these unfortunate men, women and children to leave their homes and hearths.",1971,negative,-0.578282,"{'sadness': 0.548923, 'joy': 0.499923, 'fear': 0.164783, 'disgust': 0.084073, 'anger': 0.139556}"
